Running profiling on 10 input numbers
274676.3463207198
         9617 function calls (9219 primitive calls) in 0.018 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.013    0.001    0.013    0.001 {built-in method builtins.input}
    45/10    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
   106/10    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
       39    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       35    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      633    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
      650    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
   119/23    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
    31/10    0.000    0.000    0.002    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
      530    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      850    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
 1094/979    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       12    0.000    0.000    0.001    0.000 functions.py:20(__find_all_expressions_power_d)
       39    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
     1157    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       53    0.000    0.000    0.003    0.000 re.py:288(_compile)
       38    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        9    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      257    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      230    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.003    0.003 __init__.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      112    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      247    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.003    0.000 sre_compile.py:759(compile)
      174    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      127    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       39    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       10    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      120    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       10    0.000    0.000    0.002    0.000 sre_parse.py:939(parse)
      9/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
